post_id,title,link,company,salary,date,description
1,Software Engineer - Ang Mo Kio,https://sg.indeed.com/company/Oaktree-Consulting/jobs/Software-Engineer-05f3540849deea63?fccid=bb3d64a90b2ff3fa&vjs=3,Oaktree Consulting,$3500 - $5000,10 days ago,"Contribute to continuous improvement of software development best practices in the areas of coding tools, languages and APIs, as well as software design and…"
2,Software Engineer,https://sg.indeed.com/rc/clk?jk=65621e222eca60e3&fccid=e127f4594cdf24f4&vjs=3,Credit Suisse,,6 days ago,Minimum of 5 years software engineering experience.You will be working on building firm’s strategic pre and post trade validation platform for our private…
3,Software Engineer (Campus Hire),https://sg.indeed.com/rc/clk?jk=4a407a8dc24a1bed&fccid=0b476c4a7add47fe&vjs=3,Shopee,,5 days ago,Students who are currently pursuing a Bachelor's degree in Computer Science / Computer Engineering or in a related technical field.
4,Junior Software Engineer,https://sg.indeed.com/rc/clk?jk=f82bc6318c837ddf&fccid=f41405d7054e617a&vjs=3,Adnovum,,6 days ago,Mentoring by highly skilled and experienced software engineers.Part of project teams with typically 5 to 20 members in different locations.
5,Junior Data Scientist - QuantumBlack,https://sg.indeed.com/rc/clk?jk=be7879dce913d323&fccid=6576e7250aa78c3c&vjs=3,McKinsey & Company,,5 days ago,Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model…
6,Software Engineer,https://sg.indeed.com/company/I--ACCESS-SOLUTIONS-PTE.-LTD./jobs/Software-Engineer-43287730f6d74a91?fccid=ab1d2ea7653f0cab&vjs=3,I-ACCESS SOLUTIONS PTE. LTD.,$3000 - $4500,6 days ago,"Maintain architecture framework and standards, good software coding practice, software design and system documentation.Back-end coding language (C# & VB)."
7,Computer Vision Software Engineer C++/Python,https://sg.indeed.com/company/MooVita-Pte-Ltd/jobs/Computer-Vision-Software-Engineer-C++-Python-6ddf0b6f4151710b?fccid=e976c7dcbb81668f&vjs=3,MooVita Pte Ltd,$4000 - $6000,2 days ago,"Perception/Vision based software development.You will work on software development, sensor fusion, testing, analysis and validation of the results across our…"
8,Online Data Analyst - Singapore,https://sg.indeed.com/company/TELUS-International-AI-Inc./jobs/Online-Data-Analyst-3dcec8f80190bc13?fccid=1a93caa31afcad42&vjs=3,TELUS International AI Inc.,,11 days ago,The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…
9,LiDAR Software Engineer C++/Python,https://sg.indeed.com/company/MooVita-Pte-Ltd/jobs/Lidar-Software-Engineer-C++-Python-da7e58ea7de2cfa5?fccid=e976c7dcbb81668f&vjs=3,MooVita Pte Ltd,$4000 - $7000,2 days ago,"You will work on software development, sensor fusion, testing, analysis and validation of the results across our Engineering teams."
10,"Intern, Software and Data Analysis",https://sg.indeed.com/rc/clk?jk=5abca62a31dab51e&fccid=ea6bb53f0b18b8f2&vjs=3,Siemens Healthcare Pte Ltd,,2 days ago,"Then come in and join our Singapore team as Intern, Software and Data Analysis to implement systems and conduct analyses of data using various methods and tools…"
